id,default
10000,0
10001,0
10002,0
10003,0
10004,0
10005,1
10006,0
10007,0
10008,0
10009,0
10010,0
10011,1
10012,0
10013,1
10014,1
10015,0
10016,1
10017,0
10018,0
10019,1
10020,0
10021,0
10022,0
10023,0
10024,0
10025,0
10026,0
10027,0
10028,0
10029,1
10030,1
10031,0
10032,0
10033,1
10034,0
10035,0
10036,0
10037,0
10038,0
10039,0
10040,0
10041,0
10042,1
10043,0
10044,0
10045,0
10046,0
10047,0
10048,0
10049,1
10050,0
10051,0
10052,0
10053,0
10054,0
10055,0
10056,1
10057,0
10058,0
10059,0
10060,1
10061,0
10062,1
10063,0
10064,1
10065,0
10066,0
10067,0
10068,1
10069,0
10070,1
10071,1
10072,0
10073,0
10074,0
10075,0
10076,0
10077,1
10078,0
10079,1
10080,0
10081,0
10082,0
10083,0
10084,0
10085,0
10086,0
10087,1
10088,0
10089,0
10090,0
10091,1
10092,1
10093,0
10094,0
10095,0
10096,1
10097,1
10098,0
10099,0
10100,0
10101,0
10102,1
10103,0
10104,0
10105,0
10106,0
10107,1
10108,0
10109,1
10110,0
10111,0
10112,0
10113,0
10114,0
10115,0
10116,0
10117,1
10118,0
10119,1
10120,0
10121,0
10122,0
10123,0
10124,1
10125,0
10126,0
10127,1
10128,0
10129,0
10130,0
10131,1
10132,0
10133,1
10134,0
10135,0
10136,0
10137,1
10138,0
10139,0
10140,0
10141,0
10142,0
10143,0
10144,1
10145,0
10146,0
10147,1
10148,1
10149,0
10150,0
10151,1
10152,0
10153,0
10154,0
10155,1
10156,0
10157,1
10158,0
10159,0
10160,0
10161,1
10162,1
10163,0
10164,0
10165,0
10166,0
10167,0
10168,0
10169,1
10170,0
10171,0
10172,0
10173,0
10174,0
10175,0
10176,0
10177,0
10178,0
10179,0
10180,1
10181,1
10182,0
10183,0
10184,1
10185,1
10186,0
10187,0
10188,0
10189,0
10190,0
10191,0
10192,1
10193,0
10194,0
10195,0
10196,0
10197,1
10198,1
10199,0
10200,0
10201,0
10202,0
10203,1
10204,0
10205,0
10206,0
10207,1
10208,0
10209,0
10210,0
10211,0
10212,0
10213,0
10214,0
10215,1
10216,1
10217,1
10218,0
10219,0
10220,0
10221,0
10222,0
10223,0
10224,0
10225,0
10226,0
10227,0
10228,0
10229,0
10230,0
10231,0
10232,0
10233,0
10234,1
10235,0
10236,0
10237,0
10238,0
10239,0
10240,0
10241,0
10242,0
10243,0
10244,0
10245,1
10246,0
10247,0
10248,0
10249,0
10250,0
10251,1
10252,0
10253,0
10254,0
10255,1
10256,0
10257,1
10258,0
10259,0
10260,1
10261,0
10262,0
10263,0
10264,0
10265,0
10266,0
10267,0
10268,1
10269,0
10270,1
10271,1
10272,0
10273,0
10274,0
10275,1
10276,0
10277,0
10278,0
10279,1
10280,0
10281,0
10282,1
10283,0
10284,0
10285,0
10286,0
10287,0
10288,1
10289,0
10290,0
10291,1
10292,1
10293,1
10294,0
10295,1
10296,1
10297,0
10298,0
10299,0
10300,1
10301,0
10302,0
10303,0
10304,0
10305,0
10306,0
10307,1
10308,1
10309,1
10310,0
10311,0
10312,0
10313,1
10314,0
10315,1
10316,0
10317,0
10318,0
10319,0
10320,0
10321,0
10322,0
10323,0
10324,0
10325,0
10326,0
10327,1
10328,0
10329,0
10330,1
10331,0
10332,0
10333,0
10334,0
10335,0
10336,0
10337,0
10338,0
10339,0
10340,1
10341,0
10342,0
10343,0
10344,1
10345,1
10346,0
10347,0
10348,0
10349,0
10350,0
10351,0
10352,0
10353,0
10354,0
10355,0
10356,0
10357,0
10358,0
10359,0
10360,0
10361,0
10362,1
10363,1
10364,0
10365,0
10366,0
10367,0
10368,0
10369,0
10370,0
10371,1
10372,0
10373,0
10374,0
10375,0
10376,0
10377,0
10378,0
10379,0
10380,0
10381,1
10382,0
10383,1
10384,0
10385,0
10386,0
10387,0
10388,0
